Track,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Apple Music Playlist Count,AirPlay Spins,Shazam Counts,Explicit Track
Lovesick Girls,BLACKPINK,10/2/2020,KRA402000136,1248,42.4,561712007,40766,14363550,65,959285337,16946156,95381031,694367550,55,23131,977988,0
Solo,Clean Bandit,5/17/2018,GBAHS1800328,1246,42.4,1042065058,114049,30877323,64,90354845,1452644,217591835,3283690900,126,94478,14928007,0
Una Vida Pasada,Camilo,4/2/2024,USSD12400106,1249,42.4,50955386,2952,47126163,81,40003695,294012,3726119,40019764,40,4576,217303,0
Coraz,Maluma,11/3/2017,USSD11700459,1251,42.3,598040653,52952,15758764,64,1871767126,7019685,11651047,44176203,38,19241,3689896,0
Fantasias,Rauw Alejandro,8/29/2019,QM6P41989279,1253,42.3,663578551,76919,24789585,67,1120507756,4714790,14860378,121300058,60,18961,1795507,0
Am,Nio Garcia,1/28/2021,QM4TW2137909,1257,42.2,361357607,70546,11143810,57,668095711,3934415,123820134,1087148231,27,12106,767913,1
Te Lo Agradezco,Kany Garcï¿½,7/27/2023,US5022300029,1258,42.2,169162533,9016,8885567,73,210403837,848450,1140777,22480064,14,9599,623417,0
Plebada,El Alfa,6/8/2023,QM6P42370020,1260,42.2,148677837,17100,7456228,65,254704259,1938875,35439,724569,21,3440,405352,0
Marea Weve Lost Da,Fred again..,2/22/2021,GBAHS2100041,1259,42.2,336943720,191372,29642267,71,31888669,286044,11683008,155341425,91,61528,5947514,0
Fall In Love,Bailey Zimmerman,2/11/2022,USWB12200122,1262,42.2,262185115,47288,6430525,71,121592933,606455,14280562,149251921,25,187078,1389636,0
Cupid,FIFTY FIFTY,2/24/2023,KSA012239180,1256,42.2,212084990,34632,4625072,37,191028847,3745346,66491755,543360467,15,41846,1249929,0
Guilty As Sin,Taylor Swift,4/18/2024,USUG12401036,1264,42.1,165611453,4418,21928475,78,9873283,96083,774900,6383500,34,323,79964,0
Waiting For Love,Avicii,1/1/2015,CHB701400134,1263,42.1,1397975653,205128,62368816,74,1701608739,13598875,19503025,154837616,130,56643,10834953,0
Bomb,Daddy Yankee,3/25/2022,USUG12201723,1272,42.0,129335327,27681,6391085,60,215778342,1548240,211713881,2692316483,10,15812,914770,1
Every Chance I Get,DJ Khaled,4/30/2021,USSM12102263,1271,42.0,352955079,108705,24218793,68,285741830,1939019,21216408,177512619,73,84880,2091659,1
Mo Bamba,Sheck Wes,9/19/2017,QM24S1703585,1266,42.0,1056346890,198581,38436526,71,498454408,5874304,86359858,1247183383,74,32288,6159848,1
Bank Account,21 Savage,7/6/2017,USSM11705546,1267,42.0,1150653471,195032,31101180,70,822892668,6651112,91295431,812215684,112,61,4014637,1
One Of The Girls With Jennie Lily Rose Depp,The Weeknd,2/5/2021,USUG12303881,1269,42.0,939627795,67381,127728248,87,371522364,3979062,42074581,265186570,61,26883,4254554,0
